6778	911 Bd Admin Budget v Actual.xls	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/7-10-02 Mtg/911 Bd Admin Budget v Actual.xls	Excel 2000	91648	7/2/2002 6:40:10 PM (2002-07-02 22:40:10 UTC)	2A75266F1537613AFD192C109FB124E7
6779	911 Bd ORP Etc 07 10 02.ppt	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/7-10-02 Mtg/911 Bd ORP Etc 07 10 02.ppt	PowerPoint 97	140800	7/2/2002 2:18:46 PM (2002-07-02 18:18:46 UTC)	C8A0E9A75157E50405EA97AFE23D536F
7340	911 Bd Presentation.pot	source [AD1]/September11Fund/Board/911 Bd Presentation.pot	PowerPoint 97	631808	12/2/2001 9:40:24 AM (2001-12-02 14:40:24 UTC)	005902C350379903B5F45C74BE0B73D8
7136	911 Board Mtg Agenda  TOC 4-10-02.doc	source [AD1]/September11Fund/Board/2002 Mtgs/04-10-02 Mtg/911 Board Mtg Agenda  TOC 4-10-02.doc	Microsoft Word 97	193536	4/3/2002 11:52:02 AM (2002-04-03 16:52:02 UTC)	CC6EB9CB3385692627657AD2F3EB1DA9
6714	911 Board Mtg Agenda & TOC 1-16-02.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/1-16-02 mtg/911 Board Mtg Agenda & TOC 1-16-02.doc	Microsoft Word 97	192512	1/11/2002 9:50:00 AM (2002-01-11 14:50:00 UTC)	AEAAF645A9DF8F21CD2C390B3FFFE305
6751	911 Board Mtg Agenda & TOC 2-13-02.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/2-13-02 Mtg/911 Board Mtg Agenda & TOC 2-13-02.doc	Microsoft Word 97	191488	2/7/2002 6:08:04 PM (2002-02-07 23:08:04 UTC)	41F33C408D3CCDD263E417D991EAE85E
6762	911 Board Mtg Agenda & TOC 4-10-02.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/4-10-02 mtg/911 Board Mtg Agenda & TOC 4-10-02.doc	Microsoft Word 2000	192512	4/5/2002 6:22:22 AM (2002-04-05 11:22:22 UTC)	92B1118F3428DBF830630EDA70E779FA
6780	911 Board Mtg Agenda & TOC 7-10-02.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/7-10-02 Mtg/911 Board Mtg Agenda & TOC 7-10-02.doc	Microsoft Word 97	200192	10/31/2002 5:50:42 PM (2002-10-31 22:50:42 UTC)	37B10676D6891A4F4F32DBB784D3B539
7173	911 Board Mtg Agenda 10-6.doc	source [AD1]/September11Fund/Board/2002 Mtgs/11-06-02 Mtg/911 Board Mtg Agenda 10-6.doc	Microsoft Word 97	184832	10/31/2002 3:47:24 PM (2002-10-31 20:47:24 UTC)	86AE361FBB7A95B09D03437B1E816728
6570	911 Board Mtg Agenda 11-01 w Names.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/11.01.01 mtg/911 Board Mtg Agenda 11-01 w Names.doc	Microsoft Word 97	190976	11/1/2001 9:11:34 AM (2001-11-01 14:11:34 UTC)	E22C484DC16D94E40710C266DEB88E59
6571	911 Board Mtg Agenda 11-01.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/11.01.01 mtg/911 Board Mtg Agenda 11-01.doc	Microsoft Word 97	187904	10/30/2001 8:05:34 PM (2001-10-31 01:05:34 UTC)	1724347B40B0E379629FA355A24FAD9B
7088	911 Board Mtg Agenda 12-06.doc	source [AD1]/September11Fund/Board/2001 Mtgs/12-06-01 Mtg/911 Board Mtg Agenda 12-06.doc	Microsoft Word 97	185344	12/5/2001 3:10:44 AM (2001-12-05 08:10:44 UTC)	C4877D1188201C00579388BFA9860E0D
7137	911 Board Mtg Annotated Agenda.doc	source [AD1]/September11Fund/Board/2002 Mtgs/04-10-02 Mtg/911 Board Mtg Annotated Agenda.doc	Microsoft Word 97	204288	4/9/2002 5:45:58 PM (2002-04-09 21:45:58 UTC)	609E9EBE01C0E79A9F2A25245D89142F
